trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
78,4,436.00547432899475,00:07:16,161892,1334,0.005339373368769884,0.007461549248546362,2.8668092297955434,3,0.00042398161030856316,193,1461,245,230,175,220
79,4,1579.0444390773773,00:26:19,156972,1247,0.004858172032982111,0.006726882886141539,2.6794393094113365,3,0.0002865151605213653,32,1415,255,238,159,193
80,4,1346.2582733631134,00:22:26,118853,1416,0.004648352973163128,0.006985851563513279,2.74505243121599,3,0.00035295704898476345,41,1497,256,156,147,192
81,4,756.7235012054443,00:12:36,172050,1294,0.005186693277209997,0.0069681270979344845,2.8114869341083306,3,0.0002104197686734022,75,1415,243,256,165,248
82,4,1643.2482707500458,00:27:23,114305,1356,0.004945120774209499,0.006874986924231052,2.7379292102010533,3,0.0003566752597663758,32,1491,256,135,159,192
83,4,1445.8977596759796,00:24:05,113881,1445,0.005011933855712414,0.0073050628416240215,2.8973535125933934,3,0.0004691622022917841,35,1465,250,134,157,205
84,4,963.0388712882996,00:16:03,106584,1411,0.005009164568036795,0.007075694855302572,2.902863941869918,3,0.0002928257365560153,56,1419,231,106,174,221
85,4,1154.8306176662445,00:19:14,105379,1303,0.005224778316915035,0.007108855061233044,2.827277792368376,3,0.00034486912594353954,44,1380,243,129,131,234
86,4,1537.6670536994934,00:25:37,130281,1425,0.00494866818189621,0.006996157579123974,2.6832596254366563,3,0.00015736105730587057,33,1436,250,141,191,214
87,4,348.7292947769165,00:05:48,131947,302,0.008104206994175911,0.009668605402112007,3.5481816174926384,3,0.0001649266596991765,33,311,256,142,197,202
88,4,1113.8711731433868,00:18:33,163259,1448,0.004586216527968645,0.007369529455900192,2.8384679009277374,3,0.0003975208285161401,49,1461,250,240,186,169
89,4,919.6022145748138,00:15:19,154637,1452,0.005394901614636183,0.007769702468067408,2.9034029725809645,4,0.00011234965245517666,67,1497,224,142,190,190,185
90,4,1048.1868331432343,00:17:28,117905,1363,0.005230733659118414,0.007425541523844004,2.7011335920259163,3,0.00014378107904019512,51,1432,251,125,159,247
91,4,1049.3764472007751,00:17:29,118609,1351,0.005832312162965536,0.007877597585320473,3.0074786016919832,3,0.00012671571781053013,50,1431,232,121,177,247
92,4,1345.1644518375397,00:22:25,105619,1241,0.005496589001268148,0.007583356462419033,2.8004698469149094,3,0.00014973610547200947,37,1402,251,101,160,230
93,4,1137.439796924591,00:18:57,85289,1297,0.006193147040903568,0.008232967928051949,2.894114411321709,3,0.00011405740458181667,45,1364,242,69,149,215
94,4,1504.9634284973145,00:25:04,121203,1379,0.00502680754289031,0.007273138966411352,2.664358170673358,3,0.00019315665730747775,34,1464,250,125,168,248
95,4,962.437460899353,00:16:02,127516,1366,0.005175483878701925,0.007249920628964901,2.7405812611568896,3,0.00019476278735605732,56,1434,240,148,166,248
