trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3
79,10,746.7530896663666,00:12:26,56687,832,0.008236410096287727,0.009112116880714893,3.7264289212230075,2,0.0015659033580031096,37,890,88,221,124
80,10,558.063346862793,00:09:18,156241,945,0.005919143091887236,0.007541087456047535,2.9723592745433747,3,0.000898375331235741,58,961,226,183,217,232
81,10,467.3188464641571,00:07:47,105335,889,0.005755047779530287,0.0071466658264398575,2.9284545108645865,2,0.000597044784115308,66,915,239,203,153
82,10,460.919798374176,00:07:40,109732,852,0.006078031845390797,0.007115127053111792,2.8997730453899333,2,0.0007615533310327401,66,912,239,212,157
83,10,423.2169976234436,00:07:03,104753,906,0.005898503586649895,0.007186451926827431,2.972395793656248,2,0.00033925831678826944,74,912,239,201,154
84,10,443.7216989994049,00:07:23,119945,851,0.005884142592549324,0.007398506626486778,2.9996537484470234,2,0.0006548890277251535,65,861,256,231,144
85,10,453.46682262420654,00:07:33,31063,1036,0.008774658665060997,0.010021453723311424,3.525141565658722,2,0.000546598440951653,84,1046,22,217,108
86,10,473.59621143341064,00:07:53,127397,707,0.006213078740984201,0.007543685380369425,3.1983430595790043,2,0.0007399743153557982,51,743,245,248,162
87,10,456.6938626766205,00:07:36,95861,828,0.005961633287370205,0.007312993984669447,3.0106240892614125,2,0.0003990763045752427,68,923,221,192,154
88,10,404.55218482017517,00:06:44,116056,886,0.0058149248361587524,0.007229377515614033,3.0105644054009204,2,0.00046844256733524,77,888,209,208,239
89,10,312.13144278526306,00:05:12,94157,724,0.0063323164358735085,0.007417096756398678,3.254724411152686,2,0.0006209575996411825,92,785,229,174,170
90,10,301.0763282775879,00:05:01,82350,876,0.006616205908358097,0.007767792325466871,2.9312393215539316,1,0.0008125426666766233,119,941,238,238
91,10,334.48373079299927,00:05:34,82350,896,0.006638448219746351,0.00763906491920352,3.1268286179548586,1,0.0007926545520443247,114,1007,238,238
92,10,290.6546723842621,00:04:50,71738,934,0.006678490433841944,0.007779286243021488,3.214227487012292,1,0.000522385794956817,128,953,216,224
93,10,228.76124143600464,00:03:48,84503,819,0.007053637411445379,0.008285018615424633,3.3431481932371967,1,0.0006494137834839802,162,849,245,237
94,10,698.081579208374,00:11:38,137856,846,0.006544026080518961,0.007807388436049223,3.075997690777852,4,0.0011608185345922803,42,893,235,230,134,172,27
95,10,326.40847611427307,00:05:26,101181,918,0.006145683582872152,0.007699637208133936,3.058012611078966,3,0.0010292157935374545,117,941,120,203,148,224
96,10,382.9066276550293,00:06:22,72999,972,0.006587360519915819,0.007775917183607817,3.1243778343370066,1,0.0008588106050958893,105,1080,229,211
97,10,246.17019963264465,00:04:06,121753,802,0.006278533022850752,0.007473686710000038,3.088318883527215,2,0.0007397576226937676,140,814,249,218,186
98,10,373.76471972465515,00:06:13,83747,373,0.007535146549344063,0.008399234153330326,3.4443252936988022,2,0.0005619059428909806,32,389,196,195,125
99,10,377.09830379486084,00:06:17,148621,1113,0.005430757999420166,0.007162807509303093,3.0216914786231914,3,0.0002665333311381277,130,1147,222,248,173,153
100,10,292.9562201499939,00:04:52,112130,1008,0.005861354526132345,0.007529342547059059,2.9438978260978566,2,0.0006225378625704034,151,1032,241,228,137
101,10,288.03427386283875,00:04:48,111201,870,0.005920838564634323,0.007309054955840111,3.0042010848320952,2,0.0006043931614810781,149,1004,235,229,140
102,10,300.059841632843,00:05:00,116337,923,0.006234555970877409,0.007337416056543589,2.970818724517298,2,0.0004502186730093527,154,1049,241,223,164
103,10,379.0081503391266,00:06:19,109739,828,0.005971243605017662,0.007609024178236723,2.9841570914100126,2,0.0006794099542925768,80,860,256,204,147
104,10,259.9756283760071,00:04:19,78586,828,0.006979477126151323,0.008074376732110977,3.0323909860340823,2,0.0005016435879577509,162,937,226,142,156
105,10,242.22185850143433,00:04:02,106703,871,0.006629579700529575,0.00794174987822771,3.0542700455224656,2,0.00038960340738587046,172,906,248,209,135
106,10,292.2193727493286,00:04:52,92691,956,0.00606966158375144,0.007365054916590452,3.1716422132694455,2,0.0007803097923946935,136,961,212,215,113
107,10,293.53735065460205,00:04:53,93888,813,0.00608337065204978,0.007750431075692177,3.1350446097989977,2,0.0005900797319861276,108,827,237,188,127
108,10,545.6793441772461,00:09:05,112267,1098,0.0056036971509456635,0.007093927823007107,2.971976791111217,2,0.0008649797447446592,72,1139,207,235,175
109,10,387.504469871521,00:06:27,70537,1150,0.00725712301209569,0.008257930167019367,3.0392264841262997,1,0.0003478806993431614,120,1204,215,220
110,10,461.79666018486023,00:07:41,117576,752,0.0058650788851082325,0.007420502603054047,3.0139433010853587,3,0.00043058246836514657,56,759,201,199,210,67
111,10,533.615879535675,00:08:53,122453,959,0.006065646186470985,0.0075044529512524605,3.126494540994339,2,0.0009403496597389724,62,981,252,212,197
112,10,649.9529480934143,00:10:49,60995,1010,0.0073987203650176525,0.008664439432322979,3.185003651891863,2,0.00010276401220817775,51,1029,243,82,182
113,10,397.6845338344574,00:06:37,104835,915,0.0057452647015452385,0.007281676400452852,3.361094505630991,2,0.0007049958291813849,90,993,251,226,94
114,10,598.3832130432129,00:09:58,126773,766,0.0064954692497849464,0.007871076464653015,3.1926326650585395,2,0.0009796275514185643,47,879,231,241,191
115,10,578.4509134292603,00:09:38,78395,994,0.005851816385984421,0.007267305161803961,2.889276787456187,2,0.0005214516733810304,65,1109,245,126,168
116,10,564.0539619922638,00:09:24,104057,1074,0.005451789125800133,0.007207754999399185,2.911645221130529,2,0.0005237289335234612,67,1090,244,192,161
117,10,466.91833877563477,00:07:46,78721,885,0.00634108716621995,0.007645852863788605,3.054752157138834,2,0.0004698128185050959,69,918,245,130,158
118,10,685.4667081832886,00:11:25,65843,1173,0.005727020092308521,0.00722636841237545,2.9566941053304543,2,0.00053177922061127,57,1203,240,105,142
119,10,551.1320006847382,00:09:11,71246,1030,0.0059378244914114475,0.007237324025481939,2.871563204760612,2,0.0006191640738628808,72,1156,233,116,165
120,10,593.5328023433685,00:09:53,71345,1158,0.005664550233632326,0.007386635523289442,3.2722127804021555,2,0.0006248995826469203,65,1162,234,120,151
121,10,503.055557012558,00:08:23,71738,1096,0.005757785402238369,0.007252710871398449,2.932722273911171,2,0.0005078599563824652,75,1103,227,120,167
