trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
105,2,708.596581697464,00:11:48,95165,1387,0.00510144978761673,0.00745861791074276,2.8957648843184947,2,0.00044538538345010117,73,1420,248,252,25
106,2,633.3309290409088,00:10:33,91982,1423,0.005107234697788954,0.007512656971812248,2.873054455039165,2,0.000403033538009984,86,1452,250,246,16
107,2,731.040504693985,00:12:11,97407,1113,0.005276638548821211,0.007583678234368563,2.7982454082693424,2,0.0006738686636817029,65,1342,244,256,35
108,2,385.0617709159851,00:06:25,103364,1314,0.0051024192944169044,0.0077345832251012325,2.9343168316716493,2,0.0005264385544712225,164,1341,244,256,58
109,2,801.7461922168732,00:13:21,87880,1479,0.004953921772539616,0.007346595637500286,2.911433331020178,2,0.0004796343191411005,66,1497,226,238,42
110,2,905.4556226730347,00:15:05,92067,1210,0.005248148459941149,0.007400263100862503,2.8676051930524205,2,0.0005948857445597681,52,1380,240,241,36
111,2,1246.526243686676,00:20:46,91497,1088,0.005587605759501457,0.007615390699356794,2.9178836314433614,2,0.000731754379851799,32,1254,233,233,53
112,2,659.2675063610077,00:10:59,99517,1327,0.005199855659157038,0.00742338364943862,2.9424900426117384,2,0.0009244705798126405,78,1407,256,251,32
113,2,368.7648618221283,00:06:08,93865,617,0.006442798301577568,0.008018238469958305,2.8945986324705855,2,0.0006909089727525657,69,704,246,248,27
114,2,765.9493863582611,00:12:45,101331,1344,0.004838734865188599,0.007510813418775797,2.974491533867851,2,0.0006576387759160483,61,1349,252,256,39
115,2,349.16095066070557,00:05:49,96007,1303,0.006079524755477905,0.00831067468971014,2.945662847439866,2,0.00042241966292340556,238,1454,239,244,50
116,2,475.27071619033813,00:07:55,54595,1228,0.006422117818146944,0.00859769620001316,2.982475071717367,2,0.0003700953356887404,112,1313,230,109,47
117,2,761.910728931427,00:12:41,106159,1376,0.004825345706194639,0.007204743567854166,2.798745383602653,2,0.0005349376574327458,65,1420,224,251,103
118,2,876.9741168022156,00:14:36,97055,1418,0.005064457654953003,0.0072642904706299305,2.7471900022644804,2,0.00046032697398426227,55,1426,208,237,107
119,2,741.1123776435852,00:12:21,93139,1292,0.005039799492806196,0.007574781309813261,2.8414617094619405,2,0.0005502946143893555,66,1409,199,239,101
120,2,750.8225073814392,00:12:30,94006,1416,0.00507440697401762,0.007459837943315506,2.7983844404606035,2,0.0005250398834906434,66,1429,201,238,103
